Date_YYYYMMDD,LOCAL_ID,SNODAS_SWE_Mean_m,SNODAS_SWE_Min_m,SNODAS_SWE_Max_m,SNODAS_SWE_StdDev_m,SNODAS_Pixels_Count,SNODAS_SnowCover_percent,SNODAS_SWE_Mean_in,SNODAS_SWE_Min_in,SNODAS_SWE_Max_in,SNODAS_SWE_StdDev_in
20170120,BTCANYUP,0.05,0.0,0.231,0.0584,118.0,86.4,1.969,0.0,9.094,2.2992
20170120,BTABESLO,0.074,0.039,0.106,0.0192,33.0,100.0,2.913,1.535,4.173,0.7559
20170120,BTABESM,0.218,0.055,0.42,0.0827,278.0,100.0,8.583,2.165,16.535,3.2559
20170120,BTABESUP,0.242,0.04,0.394,0.0994,289.0,100.0,9.528,1.575,15.512,3.9134
20170120,TCFC2H_F,0.256,0.061,0.343,0.068,387.0,100.0,10.079,2.402,13.504,2.6772
20170120,SKEC2H_F,0.234,0.039,0.407,0.0844,253.0,100.0,9.213,1.535,16.024,3.3228
20170120,BSWC2L_F,0.197,0.052,0.309,0.0432,341.0,100.0,7.756,2.047,12.165,1.7008
20170120,NAVC2H_F,0.444,0.191,0.668,0.1009,431.0,100.0,17.48,7.52,26.299,3.9724
20170120,ENMC2H_F,0.398,0.0,0.771,0.1365,2054.0,99.8,15.669,0.0,30.354,5.374
20170120,TRAC2H_F,0.307,0.017,0.455,0.0941,559.0,100.0,12.087,0.669,17.913,3.7047
20170120,TPIC2L_F,0.25,0.0,0.396,0.1059,542.0,99.1,9.843,0.0,15.591,4.1693
20170120,DRRC2H_F,0.378,0.101,0.526,0.0722,463.0,100.0,14.882,3.976,20.709,2.8425
20170120,SJAC2H_F,0.181,0.055,0.28,0.0651,265.0,100.0,7.126,2.165,11.024,2.563
20170120,DIRC2L_F,0.192,0.0,0.302,0.0601,262.0,95.8,7.559,0.0,11.89,2.3661
20170120,WFLC2H_F,0.254,0.066,0.379,0.0671,392.0,100.0,10.0,2.598,14.921,2.6417
20170120,CRCC2H_F,0.117,0.008,0.312,0.0625,1480.0,100.0,4.606,0.315,12.283,2.4606
20170120,FPTC2H_F,0.277,0.053,0.399,0.0777,586.0,100.0,10.906,2.087,15.709,3.0591
20170120,LPHC2H_F,0.36,0.11,0.626,0.1306,149.0,100.0,14.173,4.331,24.646,5.1417
20170120,APNC2H_F,0.294,0.051,0.449,0.0854,465.0,100.0,11.575,2.008,17.677,3.3622
20170120,LEMC2H_F,0.327,0.111,0.518,0.1185,298.0,100.0,12.874,4.37,20.394,4.6654
20170120,CSSC2H_F,0.278,0.075,0.392,0.0892,163.0,100.0,10.945,2.953,15.433,3.5118
20170120,LFGC2H_F,0.177,0.011,0.349,0.085,1629.0,100.0,6.969,0.433,13.74,3.3465
20170120,TOMC2L_F,0.187,0.032,0.427,0.0783,3172.0,100.0,7.362,1.26,16.811,3.0827
20170120,RURC2L_F,0.246,0.103,0.401,0.0674,395.0,100.0,9.685,4.055,15.787,2.6535
20170120,VCRC2H_F,0.325,0.0,0.526,0.1039,1102.0,99.5,12.795,0.0,20.709,4.0906
20170120,PSBC2H_F,0.205,0.01,0.375,0.0796,424.0,100.0,8.071,0.394,14.764,3.1339
20170120,BMDC2L_F,0.176,0.0,0.582,0.1159,4352.0,99.6,6.929,0.0,22.913,4.563
20170120,WORC2H_F,0.207,0.024,0.472,0.0894,1229.0,100.0,8.15,0.945,18.583,3.5197
20170120,FISC2H_F,0.522,0.229,0.81,0.1224,115.0,100.0,20.551,9.016,31.89,4.8189
20170120,DCKC2H_F,0.094,0.009,0.253,0.056,431.0,100.0,3.701,0.354,9.961,2.2047
20170120,MPSC2L_F,0.203,0.049,0.527,0.0824,957.0,100.0,7.992,1.929,20.748,3.2441
20170120,CLSC2L_F,0.171,0.022,0.45,0.0771,1121.0,100.0,6.732,0.866,17.717,3.0354
20170120,SMPC2H_F,0.18,0.0,0.459,0.1133,1362.0,99.7,7.087,0.0,18.071,4.4606
20170120,PSPC2H_F,0.363,0.044,0.796,0.1376,1310.0,100.0,14.291,1.732,31.339,5.4173
20170120,LCCC2H_F,0.142,0.028,0.512,0.1023,285.0,100.0,5.591,1.102,20.157,4.0276
20170120,RCYC2H_F,0.381,0.12,0.884,0.1226,728.0,100.0,15.0,4.724,34.803,4.8268
20170120,UCRC2H_F,0.162,0.0,0.376,0.0967,603.0,98.8,6.378,0.0,14.803,3.8071
20170120,LSRC2H_F,0.382,0.114,0.672,0.088,1052.0,100.0,15.039,4.488,26.457,3.4646
20170120,WETC2H_F,0.219,0.112,0.385,0.0428,292.0,100.0,8.622,4.409,15.157,1.685
20170120,RBSC2L_F,0.071,0.0,0.164,0.0268,121.0,99.2,2.795,0.0,6.457,1.0551
20170120,SLFC2H_F,0.333,0.058,0.507,0.0984,628.0,100.0,13.11,2.283,19.961,3.874
20170120,DRGC2H_F,0.273,0.0,0.782,0.1293,3096.0,97.6,10.748,0.0,30.787,5.0906
20170120,PRSC2H_F,0.245,0.124,0.417,0.053,1089.0,100.0,9.646,4.882,16.417,2.0866
20170120,GPSC2L_F,0.115,0.001,0.379,0.0975,2421.0,100.0,4.528,0.039,14.921,3.8386
20170120,LSDW4L_F,0.234,0.038,0.625,0.1106,3009.0,100.0,9.213,1.496,24.606,4.3543
20170120,CGGC2L_F,0.135,0.004,0.833,0.1049,4013.0,100.0,5.315,0.157,32.795,4.1299
20170120,GCOC2L_F,0.2,0.014,0.543,0.1413,726.0,100.0,7.874,0.551,21.378,5.563
20170120,WHIC2L_F,0.036,0.006,0.178,0.0286,1197.0,100.0,1.417,0.236,7.008,1.126
20170120,LNAC2H_F,0.374,0.158,0.557,0.1056,77.0,100.0,14.724,6.22,21.929,4.1575
20170120,NVRN5L_F,0.01,0.0,0.058,0.0067,3185.0,94.6,0.394,0.0,2.283,0.2638
20170120,SNMC2L_F,0.125,0.0,0.467,0.0938,1930.0,99.5,4.921,0.0,18.386,3.6929
20170120,LILC2L_F,0.045,0.0,0.407,0.0456,13085.0,99.7,1.772,0.0,16.024,1.7953
20170120,YDLC2L_F,0.034,0.007,0.089,0.0159,2303.0,100.0,1.339,0.276,3.504,0.626
20170120,WHBC2L_F,0.038,0.004,0.161,0.0337,6513.0,100.0,1.496,0.157,6.339,1.3268
20170120,ARFN5L_F,0.004,0.0,0.011,0.0035,1163.0,72.0,0.157,0.0,0.433,0.1378
20170120,WATU1L_F,0.037,0.003,0.187,0.0319,5930.0,100.0,1.457,0.118,7.362,1.2559
20170120,MCEC2H_F,0.007,0.0,0.083,0.0122,1567.0,83.1,0.276,0.0,3.268,0.4803
20170120,DLAC2L_F,0.038,0.0,0.319,0.0513,3063.0,79.0,1.496,0.0,12.559,2.0197
20170120,GJNC2L_F,0.099,0.0,0.423,0.1114,4870.0,79.0,3.898,0.0,16.654,4.3858
20170120,CLRU1R_F,0.03,0.0,0.244,0.04,6554.0,98.9,1.181,0.0,9.606,1.5748
20170120,ALEC2H_F,0.348,0.115,0.702,0.1188,1261.0,100.0,13.701,4.528,27.638,4.6772
20170120,GUSC2L_F,0.249,0.085,0.501,0.1184,1053.0,100.0,9.803,3.346,19.724,4.6614
20170120,SCCC2H_F,0.35,0.048,0.532,0.1119,190.0,100.0,13.78,1.89,20.945,4.4055
20170120,DELC2L_F,0.133,0.0,0.521,0.1202,4773.0,99.3,5.236,0.0,20.512,4.7323
20170120,DOLC2L_F,0.267,0.0,0.614,0.1383,1748.0,99.9,10.512,0.0,24.173,5.4449
20170120,JESU1L_F,0.028,0.002,0.116,0.0273,10682.0,100.0,1.102,0.079,4.567,1.0748
20170120,MPHC2L_F,0.094,0.0,0.211,0.0276,1019.0,99.4,3.701,0.0,8.307,1.0866
20170120,DBDC2L_F,0.031,0.0,0.374,0.0534,5902.0,74.0,1.22,0.0,14.724,2.1024
20170120,GWSC2L_F,0.188,0.002,0.579,0.1282,4184.0,100.0,7.402,0.079,22.795,5.0472
20170120,WRMC2H_F,0.276,0.011,0.619,0.1722,3297.0,100.0,10.866,0.433,24.37,6.7795
20170120,RERC2H_F,0.276,0.073,0.363,0.0423,316.0,100.0,10.866,2.874,14.291,1.6654
20170120,GMRC2L_F,0.207,0.0,0.37,0.0873,1140.0,99.6,8.15,0.0,14.567,3.437
20170120,SOMC2L_F,0.337,0.063,0.565,0.0966,1220.0,100.0,13.268,2.48,22.244,3.8031
