Date_YYYYMMDD,LOCAL_ID,SNODAS_SWE_Mean_m,SNODAS_SWE_Min_m,SNODAS_SWE_Max_m,SNODAS_SWE_StdDev_m,SNODAS_Pixels_Count,SNODAS_SnowCover_percent,SNODAS_SWE_Mean_in,SNODAS_SWE_Min_in,SNODAS_SWE_Max_in,SNODAS_SWE_StdDev_in
20100101,ENMC2H_F,0.142,0.072,0.299,0.0305,2045.0,100.0,5.591,2.835,11.772,1.2008
20100101,TRAC2H_F,0.114,0.052,0.173,0.0252,559.0,100.0,4.488,2.047,6.811,0.9921
20100101,TPIC2L_F,0.125,0.027,0.209,0.0341,532.0,100.0,4.921,1.063,8.228,1.3425
20100101,DRRC2H_F,0.19,0.155,0.234,0.0142,463.0,100.0,7.48,6.102,9.213,0.5591
20100101,SJAC2H_F,0.125,0.066,0.175,0.0219,265.0,100.0,4.921,2.598,6.89,0.8622
20100101,DIRC2L_F,0.077,0.014,0.163,0.0269,238.0,100.0,3.031,0.551,6.417,1.0591
20100101,WFLC2H_F,0.109,0.058,0.168,0.0227,392.0,100.0,4.291,2.283,6.614,0.8937
20100101,CRCC2H_F,0.06,0.0,0.192,0.0433,1480.0,99.9,2.362,0.0,7.559,1.7047
20100101,FPTC2H_F,0.108,0.025,0.171,0.0233,586.0,100.0,4.252,0.984,6.732,0.9173
20100101,LPHC2H_F,0.158,0.093,0.234,0.0335,149.0,100.0,6.22,3.661,9.213,1.3189
20100101,APNC2H_F,0.122,0.067,0.193,0.0313,465.0,100.0,4.803,2.638,7.598,1.2323
20100101,LEMC2H_F,0.162,0.106,0.226,0.0252,293.0,100.0,6.378,4.173,8.898,0.9921
20100101,CSSC2H_F,0.115,0.073,0.167,0.0185,163.0,100.0,4.528,2.874,6.575,0.7283
20100101,LFGC2H_F,0.111,0.022,0.224,0.0442,1627.0,100.0,4.37,0.866,8.819,1.7402
20100101,TOMC2L_F,0.072,0.0,0.229,0.0576,3172.0,99.4,2.835,0.0,9.016,2.2677
20100101,RURC2L_F,0.108,0.065,0.169,0.0186,395.0,100.0,4.252,2.559,6.654,0.7323
20100101,VCRC2H_F,0.162,0.105,0.234,0.0267,1082.0,100.0,6.378,4.134,9.213,1.0512
20100101,PSBC2H_F,0.078,0.026,0.125,0.0219,424.0,100.0,3.071,1.024,4.921,0.8622
20100101,BMDC2L_F,0.064,0.005,0.213,0.0413,4266.0,100.0,2.52,0.197,8.386,1.626
20100101,WORC2H_F,0.068,0.017,0.173,0.0319,1224.0,100.0,2.677,0.669,6.811,1.2559
20100101,FISC2H_F,0.183,0.112,0.389,0.0425,115.0,100.0,7.205,4.409,15.315,1.6732
20100101,DCKC2H_F,0.083,0.024,0.184,0.0417,431.0,100.0,3.268,0.945,7.244,1.6417
20100101,MPSC2L_F,0.099,0.032,0.19,0.0309,956.0,100.0,3.898,1.26,7.48,1.2165
20100101,CLSC2L_F,0.092,0.042,0.177,0.0296,1121.0,100.0,3.622,1.654,6.969,1.1654
20100101,SMPC2H_F,0.137,0.038,0.241,0.0477,1362.0,100.0,5.394,1.496,9.488,1.878
20100101,PSPC2H_F,0.207,0.079,0.4,0.0661,1310.0,100.0,8.15,3.11,15.748,2.6024
20100101,LCCC2H_F,0.124,0.065,0.192,0.0373,285.0,100.0,4.882,2.559,7.559,1.4685
20100101,RCYC2H_F,0.122,0.047,0.239,0.0282,728.0,100.0,4.803,1.85,9.409,1.1102
20100101,UCRC2H_F,0.126,0.023,0.243,0.0561,603.0,100.0,4.961,0.906,9.567,2.2087
20100101,LSRC2H_F,0.154,0.043,0.36,0.0459,1052.0,100.0,6.063,1.693,14.173,1.8071
20100101,WETC2H_F,0.114,0.07,0.147,0.0147,292.0,100.0,4.488,2.756,5.787,0.5787
20100101,RBSC2L_F,0.04,0.021,0.113,0.0184,121.0,100.0,1.575,0.827,4.449,0.7244
20100101,SLFC2H_F,0.114,0.026,0.172,0.0328,628.0,100.0,4.488,1.024,6.772,1.2913
20100101,DRGC2H_F,0.159,0.021,0.26,0.0404,3092.0,100.0,6.26,0.827,10.236,1.5906
20100101,PRSC2H_F,0.108,0.046,0.191,0.0259,1087.0,100.0,4.252,1.811,7.52,1.0197
20100101,GPSC2L_F,0.064,0.01,0.169,0.0298,2421.0,100.0,2.52,0.394,6.654,1.1732
